county,total,popestimate2014,market_per_capita
Hamilton,1,19746227,0
Gooding,1,1634464,0
Cross,1,2966369,0
Prince William,5,8326289,0
Clinton,1,6063589,0
Monmouth,3,8938175,0
Hillsborough,15,1326813,0
Williamson,3,12880580,0
Lucas,2,3107126,0
Colusa,1,38802500,0
McKinley,3,2085572,0
,6,5457173,0
MONROE,1,4849377,0
Jefferson,3,4649676,0
Harper,2,2904021,0
King and Queen,1,8326289,0
Taylor,1,4413457,0
Scott,4,3107126,0
San Juan,1,7061530,0
Keokuk,1,3107126,0
Richland,6,11594163,0
Vance,2,9943964,0
Lamb,1,26956958,0
Wyoming,1,12787209,0
Reno,1,2904021,0
Dallas,3,3107126,0
Jasper,1,26956958,0
Beaverhead,1,1023579,0
Mercer,6,8938175,0
Putnam,1,6063589,0
Sullivan,3,1326813,0
Union,1,11594163,0
Surry,2,9943964,0
Jefferson,5,5355866,0
Marin,5,38802500,0
Griggs,1,739482,0
Culpeper,1,8326289,0
Cedar,3,3107126,0
Lawrence,1,12787209,0
Calhoun,2,1850326,0
Charlottesville,3,8326289,0
Brown,1,26956958,0
Converse,1,584153,0
Iberia,1,4649676,0
Rockingham,12,1326813,0
Galveston,2,26956958,0
Lowndes,1,4849377,0
DeKalb,1,6549352,0
Ransom,2,739482,0
Allen,1,2904021,0
Niobrara,1,584153,0
Boone,10,6063589,0
Madison Parish,1,4649676,0
Winston,1,4849377,0
Crawford,1,11594163,0
Lassen,1,38802500,0
Hanover,3,8326289,0
Humboldt,12,38802500,0
LaGrange,1,6596855,0
Trigg,1,4413457,0
Cherry,1,1881503,0
White Pine,1,2839099,0
Benton,3,3107126,0
St. Tammany,2,4649676,0
,4,626562,0
Milwaukee,15,5757564,0
Harrison,1,6596855,0
Itawamba,2,2994079,0
Broome,5,19746227,0
Lancaster,1,8326289,0
Lincoln,1,7061530,0
Lawrence,3,853175,0
Island,3,7061530,0
Nowata,1,3878051,0
Anoka,4,5457173,0
Toole,1,1023579,0
Douglas County,1,3970239,0
Carteret,1,9943964,0
San Mateo,7,38802500,0
Summit,1,2942902,0
Callaway,2,6063589,0
Marion,1,2966369,0
Rockingham,3,9943964,0
Manassas,2,8326289,0
Boone,1,3107126,0
Jackson,2,2994079,0
Lafayette,7,6063589,0
Neosho,1,2904021,0
Johnson,2,2966369,0
Dale,2,4849377,0
Grayson,1,26956958,0
Cache,1,2942902,0
Morgan,2,6596855,0
Gibson,1,6596855,0
Van Buren,3,3107126,0
Orange,2,6596855,0
Atlantic,3,8938175,0
Harrison,5,2994079,0
Warren,4,11594163,0
Montgomery,2,6549352,0
Gwinnett,4,10097343,0
Avery County,1,9943964,0
Harford,1,5976407,0
Lawrence,1,2966369,0
Clermont,2,11594163,0
McKean,2,12787209,0
Spencer,1,4413457,0
Garfield,2,5355866,0
Bastrop,2,26956958,0
Kandiyohi County,1,5457173,0
Lancaster,4,1881503,0
Hennepin County,1,5457173,0
Bureau,1,12880580,0
Stanly,1,9943964,0
Bottineau,1,739482,0
White,1,6549352,0
Wayne,1,9943964,0
Jasper,1,4832482,0
Van Buren,5,9909877,0
Plumas,1,38802500,0
Lake,5,6596855,0
Yellowstone,3,1023579,0
Durham,4,9943964,0
Kings,2,38802500,0
Harrison,1,6063589,0
Osceola,2,9909877,0
Logan,1,1850326,0
Rock,6,5757564,0
Dunn,1,739482,0
Coahoma,1,2994079,0
Jefferson,1,3970239,0
Grand,1,5355866,0
Lewis,1,6549352,0
Frederick,13,5976407,0
Apache,1,6731484,0
Stone County,1,2994079,0
St. Charles,4,6063589,0
Monroe,2,5757564,0
Scott,1,2966369,0
Morris,7,8938175,0
Madison,3,1881503,0
Buncombe,12,9943964,0
Cowley,1,2904021,0
Champaign,5,12880580,0
Lincoln,2,1881503,0
Pierce,8,7061530,0
Wilson,1,6549352,0
Knox,5,6549352,0
Oregon,1,6063589,0
Luna,1,2085572,0
Harvey,2,2904021,0
Flathead,4,1023579,0
Tift,3,10097343,0
Box Butte,1,1881503,0
Decatur,1,2904021,0
Marion,10,6596855,0
Polk,1,26956958,0
Rutland,5,626562,0
Ritchie,1,1850326,0
Estill,1,4413457,0
Washington,12,3970239,0
,4,2839099,0
Bedford,3,8326289,0
Floyd,1,8326289,0
Essex,1,8326289,0
Bibb,1,4849377,0
Hampshire,7,6745408,0
Rutherford County,1,6549352,0
Matanuska-Susitna,4,736732,0
Fairfield,2,11594163,0
Alameda,28,38802500,0
Marshall,1,5457173,0
Allen,1,4649676,0
Polk,1,19893297,0
Washington,1,12880580,0
Prince George's,7,5976407,0
Lee,2,4849377,0
Adams,1,739482,0
Johnston,3,9943964,0
Anchorage,6,736732,0
,3,739482,0
Grady,2,3878051,0
Paulding,2,10097343,0
MERCED,1,38802500,0
Santa Rosa,1,19893297,0
Santa Clara,9,38802500,0
Lincoln,2,5457173,0
Granville,3,9943964,0
Union,2,12880580,0
Moore,2,9943964,0
Delta,1,5355866,0
Wichita,2,2904021,0
Lewis,1,1850326,0
Clinton,1,6596855,0
Hudson,1,8938175,0
Dona Ana,1,2085572,0
Barton,1,6063589,0
Orange County,1,19746227,0
Osborne,1,2904021,0
,29,8326289,0
Roanoke,4,8326289,0
Platte County,1,6063589,0
Jefferson,1,1881503,0
Lake,8,38802500,0
Forsyth,2,10097343,0
Hernando,1,19893297,0
Baraga,1,9909877,0
Morgan,1,5355866,0
Worcester,44,6745408,0
Calhoun,5,9909877,0
Hart,1,4413457,0
Albany,3,584153,0
MOBILE,1,4849377,0
Placer,18,38802500,0
Johnson,4,6063589,0
Walker,1,4849377,0
Gasconade,3,6063589,0
Lawrence,2,6596855,0
Schuyler,1,12880580,0
La Plata,1,5355866,0
Lincoln,1,2994079,0
Riverside,13,38802500,0
HENRY,2,4849377,0
Albany,10,19746227,0
KERN,5,38802500,0
Nodaway,1,6063589,0
Ashland,2,11594163,0
Madison,1,19893297,0
Polk,3,5457173,0
McCurtain,2,3878051,0
Henderson,2,9943964,0
Dallas,5,26956958,0
LOS ANGELES,3,38802500,0
Clarion,1,12787209,0
Coffey County,1,2904021,0
Johnson,1,6596855,0
Bowie,1,26956958,0
Robeson,3,9943964,0
Coos,3,1326813,0
Lowndes,3,10097343,0
Guthrie,2,3107126,0
Summit,8,11594163,0
Alleghany,2,9943964,0
Sagadahoc,2,1330089,0
Le Flore,1,3878051,0
Carlton,1,5457173,0
Woodford,1,12880580,0
Putnam,1,19746227,0
Greene,5,19746227,0
Clearwater,1,1634464,0
Crenshaw,1,4849377,0
Ouachita,1,4649676,0
Salt Lake,2,2942902,0
Newton,1,6063589,0
Cole,1,6063589,0
Neshoba,2,2994079,0
Portsmouth,1,8326289,0
Shelby,7,4849377,0
Polk,5,5757564,0
Fond du Lac,2,5757564,0
Forest,1,12787209,0
Jefferson,1,19893297,0
Person,1,9943964,0
Penobscot,5,1330089,0
White,2,2966369,0
WILCOX,1,4849377,0
Wise,1,8326289,0
Lake of the Woods,1,5457173,0
Denton,2,26956958,0
Knox,2,11594163,0
Hocking,1,11594163,0
Wexford,1,9909877,0
Upson,1,10097343,0
Crawford,1,2904021,0
Monroe,3,6596855,0
Newaygo,3,9909877,0
Platte,1,584153,0
,6,3596677,0
Calaveras,2,38802500,0
BUTLER,1,4849377,0
Inyo,3,38802500,0
Santa Barbara,4,38802500,0
Suffolk,18,6745408,0
Defiance,3,11594163,0
Columbia,1,3970239,0
Austin,1,26956958,0
Clearwater,1,5457173,0
,20,5355866,0
DeSoto,2,2994079,0
AMADOR,1,38802500,0
Butler,1,4849377,0
Jackson,4,9909877,0
Pottawattamie,1,3107126,0
Benzie,4,9909877,0
Fauquier,2,8326289,0
St. Croix,2,5757564,0
Lafourche,1,4649676,0
Henry,2,6063589,0
Washington,1,4849377,0
Fresno,12,38802500,0
Pend Oreille,1,7061530,0
Jefferson,1,2904021,0
Walworth,5,5757564,0
Grant,1,1850326,0
Victoria,1,26956958,0
Dawson,3,1881503,0
Brown,1,11594163,0
Collin,4,26956958,0
Wyoming,2,19746227,0
Sherburne,1,5457173,0
Pocahontas,3,3107126,0
Jones,2,3107126,0
Madison,1,1634464,0
Anderson,1,6596855,0
Gladwin,1,9909877,0
Cumberland,12,1330089,0
Madison,2,2994079,0
Auglaize,1,11594163,0
Lampasas,1,26956958,0
Deer Lodge,1,1023579,0
Beaver,2,12787209,0
Cabarrus,4,9943964,0
Pettis,1,6063589,0
East Baton Rouge,1,4649676,0
Solano,6,38802500,0
Niagara,4,19746227,0
Yakima,2,7061530,0
Wapello,2,3107126,0
Latah,4,1634464,0
Tulare,9,38802500,0
Sandoval,3,2085572,0
,6,4649676,0
Autauga,1,4849377,0
Jackson County,1,5757564,0
Placer,1,6596855,0
,6,4832482,0
Guernsey,1,11594163,0
Jackson,9,3970239,0
Sheboygan,3,5757564,0
Jefferson County,2,5355866,0
Geauga,1,11594163,0
Grayson,1,8326289,0
Codington,2,853175,0
Benton,4,2966369,0
Pottawatomie,2,3878051,0
Napa,4,38802500,0
Blue Earth,1,5457173,0
Brazos,1,26956958,0
Braxton County,1,1850326,0
Phelps,1,1881503,0
Nicholas,1,1850326,0
Perquimans,1,9943964,0
Mahaska,2,3107126,0
Jersey,1,12880580,0
Grant,1,739482,0
Perry,1,6549352,0
Orange,11,19746227,0
Weakley,1,6549352,0
Iron,1,9909877,0
Polk,1,1881503,0
Wasco,2,3970239,0
Washington,2,2904021,0
Story,4,3107126,0
Vermilion,1,12880580,0
Dewitt,1,26956958,0
Chesterfield,6,8326289,0
Wright,2,5457173,0
Fulton,12,10097343,0
Clarke,5,10097343,0
Kendall,2,26956958,0
Berkeley,1,4832482,0
Ravalli,4,1023579,0
Cass,2,739482,0
Union,1,4649676,0
Vernon,1,6063589,0
Gilmer,1,1850326,0
Price,3,5757564,0
Halifax,1,8326289,0
Allegany,4,19746227,0
Chautauqua,7,19746227,0
Beaufort,1,9943964,0
Carroll,1,3107126,0
Linn,3,3970239,0
Carroll,2,6063589,0
Will,7,12880580,0
Union,1,4832482,0
Jefferson,11,4849377,0
Stephenson,2,12880580,0
San Diego,12,38802500,0
Humboldt,1,2839099,0
Lane,14,3970239,0
Hancock,1,12880580,0
Oconee County,1,10097343,0
Kitsap,6,7061530,0
Bladen,1,9943964,0
,4,1850326,0
Dawes,1,1881503,0
Franklin,1,3107126,0
Meade,1,4413457,0
Mississippi,1,6063589,0
Sioux,1,739482,0
Chaffee,1,5355866,0
Muskegon,3,9909877,0
Rutherford,2,6549352,0
Bristol,4,1055173,0
Adams,1,6596855,0
Mason,1,1850326,0
Boone,3,2966369,0
Pierce,1,5757564,0
Spartanburg,3,4832482,0
Sullivan,2,6549352,0
Putnam,1,1850326,0
Peoria,2,12880580,0
Florence,1,4832482,0
Washington,1,4413457,0
Albany County,5,19746227,0
Northampton,4,12787209,0
Horry,3,4832482,0
Fayette,4,4413457,0
Calhoun,1,3107126,0
Clatsop,3,3970239,0
Erie,1,12787209,0
Richmond,1,9943964,0
Orange County,1,9943964,0
La Salle,5,12880580,0
Cherokee,1,4832482,0
Lincoln,1,4413457,0
Wayne,1,2942902,0
Bennington,4,626562,0
Clay,3,853175,0
Campbell,1,584153,0
Dunn,2,5757564,0
Pope,1,5457173,0
Westchester,19,19746227,0
Sibley,2,5457173,0
Mesa,1,5355866,0
McHenry,6,12880580,0
"Lewis ,Clark",1,1023579,0
Woodward,1,3878051,0
Genesee,1,19746227,0
Comanche,1,3878051,0
Gadsden,1,19893297,0
Georgetown,1,4832482,0
Sedgwick,5,2904021,0
Yamhill,3,3970239,0
Page,2,3107126,0
Kane,1,2942902,0
McLean,4,12880580,0
Yancey,1,9943964,0
,8,1634464,0
St. Lawrence,13,19746227,0
Pepin County,2,5757564,0
Pearl River,1,2994079,0
Philadelphia,45,12787209,0
Lancaster,1,4832482,0
Jackson,1,2904021,0
Douglas,5,3970239,0
Androscoggin,5,1330089,0
Emmet,1,9909877,0
Harrison,4,1850326,0
De Witt,1,12880580,0
Carroll,1,2966369,0
Macomb,3,9909877,0
Hancock,1,2994079,0
Woodbury County,1,3107126,0
Madison,1,8326289,0
Somerset,4,1330089,0
Sangamon,2,12880580,0
Chenango,1,19746227,0
Little River,1,2966369,0
Cobb,4,10097343,0
Owen,1,4413457,0
Oswego,7,19746227,0
Grant,3,6596855,0
Tazewell,3,12880580,0
Lawrence,2,6549352,0
Brown,1,1881503,0
Lee,1,8326289,0
Montgomery,2,9943964,0
Sheridan,1,739482,0
Towns,1,10097343,0
Saluda,1,4832482,0
Dauphin,5,12787209,0
Fayette,1,4849377,0
Montgomery,5,11594163,0
,2,2085572,0
Putnam,1,6549352,0
Huntington,1,6596855,0
Madison,1,11594163,0
Harnett,2,9943964,0
Frederick,3,8326289,0
Fulton,2,12880580,0
Saunders,1,1881503,0
Roscommon,1,9909877,0
Breckinridge,1,4413457,0
Cass,3,3107126,0
Rush,1,2904021,0
Antelope,3,1881503,0
Monroe,1,1850326,0
Navarro,1,26956958,0
Clinton,4,19746227,0
Cooper,2,6063589,0
Morrill,1,1881503,0
Lowndes,1,2994079,0
Utah,3,2942902,0
Richmond City,9,8326289,0
Richland,1,739482,0
Canyon,3,1634464,0
Alamosa,1,5355866,0
Adams,5,5355866,0
Tama,4,3107126,0
Tuolumne,2,38802500,0
Chester,1,4832482,0
Berkeley,1,1850326,0
York,1,8326289,0
Saline,1,2966369,0
Athens,1,11594163,0
Calloway,1,4413457,0
Warren,4,19746227,0
Henrico,2,8326289,0
Jefferson,4,1850326,0
Hall,1,1881503,0
Tipton,1,6549352,0
Lawrence,1,4849377,0
Henderson,1,4413457,0
Escambia,2,19893297,0
Sebastian County,1,2966369,0
Cleveland,2,9943964,0
Brooke,3,1850326,0
Socorro,2,2085572,0
Chippewa,1,9909877,0
Talladega County,1,4849377,0
Conway,1,2966369,0
Miami,5,11594163,0
Ohio,2,1850326,0
Calcasieu,1,4649676,0
Dawson,2,1023579,0
Lincoln,1,1023579,0
Goochland,2,8326289,0
Lynchburg,1,8326289,0
Pulaski,2,6063589,0
Franklin,1,12880580,0
Benton,2,3970239,0
Warren,1,6549352,0
Cabell,2,1850326,0
Multnomah,25,3970239,0
Chesterfield,3,4832482,0
Owsley,2,4413457,0
,8,736732,0
,5,3878051,0
Jackson,1,1850326,0
Trinity,2,38802500,0
Bland,1,8326289,0
ELMORE,1,4849377,0
Chittenden,13,626562,0
Riley,2,2904021,0
PROVIDENCE,1,1055173,0
Mitchell,1,9943964,0
Anne Arundel,7,5976407,0
Volusia,3,19893297,0
Fluvanna,2,8326289,0
Calhoun,3,4849377,0
Tulsa,6,3878051,0
Pasco,1,19893297,0
Missoula,5,1023579,0
Essex,4,19746227,0
Ramsey,3,5457173,0
New Haven,18,3596677,0
Kearney,2,1881503,0
Delaware,3,12787209,0
Wicomico,2,5976407,0
Marion,2,19893297,0
Laurens,1,4832482,0
Hampton,2,4832482,0
DeKalb,2,12880580,0
Pope,2,2966369,0
Clackamas,9,3970239,0
Roane,3,1850326,0
Washington,3,5757564,0
Washoe,11,2839099,0
Shelby,1,3107126,0
Jefferson,2,1023579,0
Wells,1,739482,0
Pike,1,4849377,0
Ventura,6,38802500,0
Macon,1,6549352,0
Davidson,5,6549352,0
Bradford,1,12787209,0
Otero,4,2085572,0
Lincoln,3,5757564,0
Logan,1,11594163,0
Clarke,1,8326289,0
Norfolk,1,8326289,0
El Paso,7,5355866,0
Seward,1,2904021,0
Lumpkin,1,10097343,0
Marathon,7,5757564,0
Emmons,1,739482,0
Shasta,9,38802500,0
Cochise,2,6731484,0
Tangipahoa,1,4649676,0
Sauk,4,5757564,0
Marinette,2,5757564,0
Scotts Bluff,2,1881503,0
,6,6549352,0
Scott,1,4413457,0
Arenac,1,9909877,0
Barnstable,9,6745408,0
El Dorado,4,38802500,0
Benton,4,7061530,0
Rio Arriba,2,2085572,0
Adair,1,3107126,0
Patrick,2,8326289,0
Calvert,2,5976407,0
Cook,94,12880580,0
Lake,8,12880580,0
Polk,4,9943964,0
,2,4413457,0
Ben Hill,1,10097343,0
Rockcastle,2,4413457,0
Cuming,1,1881503,0
Blount,1,6549352,0
Jasper,2,3107126,0
Dickenson,1,8326289,0
Miami-Dade,17,19893297,0
Lafayette,3,4649676,0
Clay,1,12880580,0
Dekalb,1,4849377,0
Mitchell,2,3107126,0
Coconino,1,6731484,0
Rice,5,5457173,0
Pemiscot,1,6063589,0
Marion,2,2904021,0
Washington,2,2942902,0
Breathitt,1,4413457,0
Hardin,1,6549352,0
Berrien,1,10097343,0
Des Moines,2,3107126,0
Dickson,1,6549352,0
Woodbury,1,3107126,0
Whatcom County,1,7061530,0
Carroll,1,2994079,0
Lehigh,5,12787209,0
Colleton,2,4832482,0
Hillsborough,8,19893297,0
Wahkiakum,1,7061530,0
Rock Island,1,12880580,0
Lawrence,1,4413457,0
Clinton,4,9909877,0
Eddy,1,2085572,0
Jefferson,1,6549352,0
Colfax,1,1881503,0
,15,1326813,0
Douglas,4,10097343,0
Muscatine,2,3107126,0
Dougherty,1,10097343,0
Fremont,5,584153,0
Sumter,3,4832482,0
Republic,1,2904021,0
Wilkes,1,10097343,0
Hampshire,1,1850326,0
Craig,1,3878051,0
Allen,1,6596855,0
Natrona,2,584153,0
Lawrence County,1,2966369,0
Fulton,1,6596855,0
Noxubee,1,2994079,0
Marshall,1,1850326,0
Middlesex County,1,8938175,0
O'Brien,3,3107126,0
Johnson,4,2904021,0
Perry,2,4849377,0
Craighead,1,2966369,0
Chaves,1,2085572,0
Kalamazoo,10,9909877,0
Tillamook,3,3970239,0
,3,1330089,0
Madison,9,19746227,0
Pinellas,4,19893297,0
Ionia,3,9909877,0
Pender,1,9943964,0
Hamilton,1,1881503,0
Boise,3,1634464,0
Berkshire,8,6745408,0
Polk,2,2966369,0
Page,1,8326289,0
Cambria,5,12787209,0
Lycoming,3,12787209,0
Marion,1,4413457,0
Pickens,3,4832482,0
Shiawassee,5,9909877,0
Washington,3,12787209,0
Moffat,1,5355866,0
Whiteside,1,12880580,0
Dubuque,5,3107126,0
Langlade,1,5757564,0
Burnett,3,5757564,0
Jefferson,13,4413457,0
Rogers,1,3878051,0
McLeod,2,5457173,0
Madison,1,6063589,0
St. Charles,1,4649676,0
Umatilla,3,3970239,0
Conecuh,1,4849377,0
Barnwell,2,4832482,0
Outagamie,6,5757564,0
Kewaunee,1,5757564,0
Richmond,2,10097343,0
Laramie,3,584153,0
Mille Lacs,2,5457173,0
Norton,1,8326289,0
Fillmore,1,1881503,0
Wilbarger,1,26956958,0
Warren,2,8938175,0
Talbot,1,5976407,0
Dubois,1,6596855,0
Noble,1,6596855,0
Crawford,3,6063589,0
Oakland,12,9909877,0
Hancock,5,1330089,0
Montezuma,3,5355866,0
Lauderdale,1,2994079,0
Oneida,12,19746227,0
Washington,2,6549352,0
Hall,2,10097343,0
Fulton,3,19746227,0
Manatee,2,19893297,0
Emporia,1,8326289,0
Suffolk,12,19746227,0
Manistee,1,9909877,0
Nevada,1,2966369,0
SAN JOAQUIN,1,38802500,0
Franklin,1,10097343,0
Franklin,1,7061530,0
Worth,1,10097343,0
Kent,1,5976407,0
Mendocino,6,38802500,0
Osceola,1,3107126,0
Southampton,1,8326289,0
Carroll,1,10097343,0
Bingham,1,1634464,0
Barron,3,5757564,0
Holmes County,2,11594163,0
Lafayette,2,2994079,0
Pike,1,4413457,0
Marshall,1,6549352,0
Burke,3,9943964,0
Wright,2,6063589,0
Wilcox,2,4849377,0
Adams,2,12880580,0
Osage County,1,2904021,0
Belknap,4,1326813,0
Jay,2,6596855,0
,3,6731484,0
Snyder,1,12787209,0
Coffee,1,6549352,0
Hartford,25,3596677,0
York,1,1881503,0
Meade,1,853175,0
Yavapai,5,6731484,0
Woods,1,3878051,0
Burke,1,739482,0
Ocean,5,8938175,0
Cheboygan,1,9909877,0
Wayne,7,11594163,0
Washington,1,3878051,0
Boone,1,4413457,0
Polk,1,6063589,0
Washington,3,2966369,0
Bell,2,26956958,0
Gillespie,1,26956958,0
Camden,10,8938175,0
Bremer,2,3107126,0
Fremont,1,1634464,0
Izard,1,2966369,0
Clark,7,5757564,0
Bergen,6,8938175,0
Lorain,3,11594163,0
Cass County,2,5457173,0
Marengo,2,4849377,0
Lauderdale,1,4849377,0
Ross,1,11594163,0
Tulsa County,2,3878051,0
Kalkaska,1,9909877,0
Washington,1,3107126,0
Wood,3,5757564,0
Middlesex,1,8326289,0
Butler,1,12787209,0
Monroe,1,8326289,0
Gage,3,1881503,0
Allen County,3,11594163,0
Oktibbeha,2,2994079,0
Maui,7,1419561,0
Gallatin,5,1023579,0
Kosciusko,2,6596855,0
Tipton,1,6596855,0
Kay,1,3878051,0
Pike,1,10097343,0
Aroostook,2,1330089,0
Travis,11,26956958,0
SHELBY,1,4849377,0
Middlesex,43,6745408,0
Perry,4,11594163,0
Carroll,1,4413457,0
Caldwell,3,9943964,0
Rabun,2,10097343,0
Brule,1,853175,0
Riverside County,2,38802500,0
ALAMEDA,1,38802500,0
Washington,4,5976407,0
Iron,1,6063589,0
Wharton,1,26956958,0
Harris,5,26956958,0
Franklin,1,4413457,0
Kiowa,1,3878051,0
Mercer County,3,8938175,0
Rusk,2,5757564,0
Gunnison,1,5355866,0
Teton,1,1634464,0
Greene,1,3107126,0
Kershaw,1,4832482,0
Bourbon,2,4413457,0
Monterey,10,38802500,0
Bradley,1,6549352,0
Sitka,1,736732,0
Marion,11,3970239,0
,5,584153,0
Catoosa,1,10097343,0
Haines,1,736732,0
Clark,1,2966369,0
,6,935614,0
Grundy,1,6063589,0
Lancaster,10,12787209,0
Montgomery,4,4849377,0
San Mateo County,1,38802500,0
Abbeville,1,4832482,0
Wayne,1,1881503,0
Lyon County,1,3107126,0
Hughes,2,853175,0
Phelps,3,6063589,0
Schuylkill,3,12787209,0
Williamson,5,26956958,0
Hood River,1,3970239,0
Okaloosa,2,19893297,0
Rowan,1,9943964,0
Copiah,1,2994079,0
Warrick,1,6596855,0
Bay,2,19893297,0
Sevier,2,6549352,0
Wells,1,6596855,0
New York,9,19746227,0
Queen Anne's,2,5976407,0
Ashland,1,5757564,0
Dorchester,1,4832482,0
Rensselaer,7,19746227,0
Clearfield,2,12787209,0
Sanpete County,1,2942902,0
Alamance,2,9943964,0
Darke,1,11594163,0
Holmes,3,11594163,0
Beauregard,2,4649676,0
Crawford,2,3107126,0
Haskell,1,3878051,0
Champaign,1,11594163,0
Faulkner,2,2966369,0
Boyle,1,4413457,0
Lincoln,1,5355866,0
Prentiss,1,2994079,0
Greene,1,2966369,0
Ada,8,1634464,0
Tioga,2,19746227,0
Newport,2,1055173,0
Kennebec,6,1330089,0
Prince Edward,1,8326289,0
Oneida,1,5757564,0
Howard,1,6596855,0
Lafayette,1,19893297,0
New Hanover,1,9943964,0
Jackson,4,6063589,0
Lawrence,2,11594163,0
Berrien,2,9909877,0
Guadalupe,3,26956958,0
Ingham,13,9909877,0
Union,2,12787209,0
Hempstead,1,2966369,0
Douglas,2,2904021,0
Putnam,1,11594163,0
Vernon,1,4649676,0
McLean,2,739482,0
Grant,1,3970239,0
Taos,1,2085572,0
Dallas,1,4849377,0
St. Clair,1,12880580,0
Nelson,1,4413457,0
Strafford,6,1326813,0
Macon,1,6063589,0
Thayer,2,1881503,0
Hawaii County,2,1419561,0
Owyhee,1,1634464,0
Stevens,4,7061530,0
Osage,1,6063589,0
Lucas,4,11594163,0
Burleigh,4,739482,0
Hancock,3,3107126,0
Adair County,1,4413457,0
Stone,2,6063589,0
Essex,1,626562,0
Richland,2,12880580,0
York,1,4832482,0
Lawrence,1,12880580,0
Davie,2,9943964,0
Mercer,2,1850326,0
Mower,2,5457173,0
NEWPORT,2,1055173,0
Spokane,8,7061530,0
Cleveland,1,3878051,0
Canadian,1,3878051,0
Jefferson,2,5757564,0
Jefferson,14,19746227,0
Franklin,1,4849377,0
Grafton,8,1326813,0
Valley,2,1634464,0
Keith,1,1881503,0
Arapahoe,3,5355866,0
Warren,1,9943964,0
Cumberland,7,12787209,0
Norton,1,2904021,0
Leelanau,4,9909877,0
Howard,1,6063589,0
Hancock,2,1850326,0
Labette,1,2904021,0
Seward,1,1881503,0
York,9,1330089,0
McLennan,2,26956958,0
Poweshiek,1,3107126,0
Yolo,5,38802500,0
Winnebago,5,5757564,0
Broomfield,2,5355866,0
Madison,2,1023579,0
Hardin,2,3107126,0
Murray,1,5457173,0
Owen,2,6596855,0
Maricopa,26,6731484,0
Mathews,1,8326289,0
Onslow,2,9943964,0
Marion,1,12880580,0
Addison,4,626562,0
Klamath,3,3970239,0
Macon,1,9943964,0
Pickens,2,4849377,0
Hickman,1,6549352,0
Harney,1,3970239,0
Haywood,3,9943964,0
Blaine,3,1634464,0
Orange,2,8326289,0
Escambia,3,4849377,0
Allegheny,19,12787209,0
Curry,1,3970239,0
Montgomery County,1,12787209,0
Christian,1,12880580,0
Rhea,1,6549352,0
Lincoln,5,3970239,0
Poinsett,1,2966369,0
Mercer,2,739482,0
,5,3107126,0
Marshall,1,6596855,0
Santa Cruz,3,38802500,0
Graves,2,4413457,0
Gloucester,1,8326289,0
Washington,5,1330089,0
Beaufort,4,4832482,0
Columbus,1,9943964,0
Chippewa,1,5457173,0
Phillips County,2,2966369,0
Minidoka,1,1634464,0
Terrebonne,2,4649676,0
McMinn,1,6549352,0
Red Willow,1,1881503,0
Seminole,1,19893297,0
Warren,2,3107126,0
San Luis Obispo,7,38802500,0
Jo Daviess,5,12880580,0
St. Mary's,1,5976407,0
,10,7061530,0
St. Mary,1,4649676,0
Morgan,2,11594163,0
Clay,1,4849377,0
Whatcom,3,7061530,0
Marion,1,2994079,0
,12,10097343,0
Lincoln,1,584153,0
Tallapoosa,1,4849377,0
San Benito,1,38802500,0
Menard,1,12880580,0
Broward,8,19893297,0
Dekalb,1,12880580,0
Onondaga,10,19746227,0
Hancock County,2,11594163,0
