county,total,popestimate2014,market_per_capita
Anderson,1,2904021,0
Bonner,4,1634464,0
McCone,1,1023579,0
Crow Wing,1,5457173,0
Saline County,1,1881503,0
BRISTOL,1,1055173,0
Crisp,1,10097343,0
Grant County,1,3878051,0
Randolph,2,9943964,0
Livingston,7,9909877,0
Montgomery,3,8326289,0
Jackson,2,6596855,0
Pinal,1,6731484,0
Putnam,1,10097343,0
Columbia,7,5757564,0
Gem,1,1634464,0
Mason,1,7061530,0
Coos,1,3970239,0
Rolette,1,739482,0
Carroll,5,1326813,0
Leon,3,19893297,0
LaPorte,3,6596855,0
Howard,4,3107126,0
Randolph,1,2966369,0
Wayne,1,12880580,0
Union,1,3107126,0
Bracken,1,4413457,0
Madison,2,6549352,0
Montmorency,1,9909877,0
Jefferson Davis,3,4649676,0
Cattaraugus,6,19746227,0
Cavalier,1,739482,0
Columbiana,1,11594163,0
Kanawha,1,1850326,0
Hancock,3,6596855,0
Baldwin,3,4849377,0
Washington,1,9943964,0
Northumberland,2,12787209,0
San Miguel,2,5355866,0
Avoyelles,3,4649676,0
Rush,2,6596855,0
Jefferson,1,3107126,0
Jefferson,2,6063589,0
Jefferson,1,12787209,0
Caledonia,11,626562,0
Polk,3,3107126,0
Cape Girardeau,2,6063589,0
Ward,4,739482,0
Mahnomen,1,5457173,0
,13,6596855,0
Gilmer,1,10097343,0
Schuyler,1,6063589,0
,3,4849377,0
Marion,1,11594163,0
Josephine,1,3970239,0
Okanogan,3,7061530,0
Clinton,2,11594163,0
Greene,3,6549352,0
Clare,3,9909877,0
Delaware,1,6596855,0
,15,9943964,0
Nassau,8,19746227,0
Randolph,2,6063589,0
Clark,5,7061530,0
Barbour,2,1850326,0
Smyth,2,8326289,0
Duchesne,1,2942902,0
Gallia,2,11594163,0
Lapeer County,1,9909877,0
Centre County,6,12787209,0
Washakie,1,584153,0
Anderson,1,4413457,0
Monroe,1,10097343,0
Lee,3,3107126,0
Muscogee,2,10097343,0
Bronx,21,19746227,0
Washtenaw,10,9909877,0
Linn,4,3107126,0
Ozaukee,3,5757564,0
Greene,2,12787209,0
Union,2,9943964,0
Colbert,1,4849377,0
Walthall,1,2994079,0
Pendleton,1,4413457,0
Lamar,1,10097343,0
Taylor,1,1850326,0
Braxton,2,1850326,0
Choctaw,1,3878051,0
Tuscarawas,1,11594163,0
Nantucket,2,6745408,0
Clarke,1,4849377,0
,5,1055173,0
Surry,1,8326289,0
Fergus,1,1023579,0
Elko,1,2839099,0
Butte,5,38802500,0
Moore County,1,9943964,0
Newberry,1,4832482,0
Palo Alto,1,3107126,0
Skagit,3,7061530,0
Washington,1,6063589,0
Williamsburg,1,8326289,0
Mobile,4,4849377,0
Muhlenberg,1,4413457,0
Trumbull,1,11594163,0
St. Bernard,1,4649676,0
Cumberland,1,6549352,0
Buffalo,4,1881503,0
Montrose,1,5355866,0
Kinney,1,26956958,0
Luzerne,2,12787209,0
Morgan,2,12880580,0
Cherokee,2,9943964,0
Perry,1,12880580,0
Graham,1,9943964,0
Fayette,1,6596855,0
BUTTE,1,38802500,0
midland,1,9909877,0
Windham,9,626562,0
Houston,3,4849377,0
Jackson County,1,9909877,0
Palm Beach,2,19893297,0
Delaware,2,3107126,0
Franklin,1,2904021,0
Sumter,1,4849377,0
Wayne,26,9909877,0
Winnebago County,1,5757564,0
Sevier,1,2942902,0
Boulder,5,5355866,0
Boone,2,12880580,0
Iowa,1,5757564,0
,26,26956958,0
Grant,1,7061530,0
Shenandoah,1,8326289,0
Haralson,1,10097343,0
Overton,1,6549352,0
Warren,2,6063589,0
Lewis,1,4413457,0
Warren,1,12787209,0
Laclede,2,6063589,0
Manitowoc,2,5757564,0
,4,2994079,0
Jackson,2,9943964,0
Linn,2,6063589,0
Campbell,2,4413457,0
Jackson,1,2966369,0
JEFFERSON,3,4849377,0
Delaware,9,19746227,0
Greene,1,6596855,0
Garrard,1,4413457,0
Cass,1,5457173,0
SANTA BARBARA,2,38802500,0
Howard,1,2966369,0
Cape May,1,8938175,0
Giles,1,6549352,0
Schoolcraft,1,9909877,0
Livingston,2,12880580,0
Park,1,1023579,0
Elkhart,5,6596855,0
Noble,1,3878051,0
Smith,2,26956958,0
Wood,1,1850326,0
Waukesha,8,5757564,0
Lincoln,4,6063589,0
Franklin,3,1330089,0
Seneca,3,19746227,0
Iron,1,5757564,0
Parke County,1,6596855,0
Floyd,1,3107126,0
Pamlico,1,9943964,0
Camden,2,6063589,0
Watonwan,1,5457173,0
Bath,1,4413457,0
Washington,1,6596855,0
New London,14,3596677,0
Cass,1,1881503,0
Clark,1,2839099,0
Oklahoma,4,3878051,0
Cheshire,5,1326813,0
Alleghany,1,8326289,0
Boyd,1,4413457,0
Houston,1,10097343,0
Fayette,2,3107126,0
Williams,4,739482,0
Liberty,2,1023579,0
Amador,2,38802500,0
Monroe,19,19746227,0
Hampton,1,8326289,0
Saratoga,1,19746227,0
Glenn,3,38802500,0
Oceana,2,9909877,0
Lackawanna,2,12787209,0
Williamson,1,6549352,0
Kern,14,38802500,0
Edgar,1,12880580,0
Ouachita,1,2966369,0
Gallatin,1,4413457,0
Greenbrier,3,1850326,0
Scott,1,8326289,0
Cortland,4,19746227,0
Worcester,3,5976407,0
Logan,1,4413457,0
Stevens,1,5457173,0
Dent,1,6063589,0
Klickitat,1,7061530,0
Crawford,2,6596855,0
Essex,9,8938175,0
Clark,1,6596855,0
Gaston,3,9943964,0
Alpena,1,9909877,0
McIntosh,1,3878051,0
Ray,1,6063589,0
Centre,3,12787209,0
Valley,1,1881503,0
Wake,9,9943964,0
Santa Fe,2,2085572,0
Simpson,1,4413457,0
Muskogee,1,3878051,0
Charlevoix,1,9909877,0
Lewis,3,7061530,0
Latimer,1,3878051,0
Weston,2,584153,0
Sheridan,2,1881503,0
Brown,1,853175,0
Fairfield,28,3596677,0
Ottawa,6,9909877,0
Mahoning,2,11594163,0
Clinton,1,12880580,0
Marlboro,1,4832482,0
Custer,1,5355866,0
Clay County,1,1850326,0
Crawford,4,12787209,0
Coweta,1,10097343,0
Turner,1,853175,0
Bristol,11,6745408,0
Chemung,4,19746227,0
Baldwin,1,10097343,0
Pike,2,2994079,0
Louisa,3,8326289,0
Ashley,1,2966369,0
Atchison,1,6063589,0
Yates,2,19746227,0
Alcorn,2,2994079,0
Cumberland,2,8938175,0
Emmet,1,3107126,0
Crawford,1,5757564,0
St. Joseph,1,9909877,0
Howard,4,5976407,0
Union,3,8938175,0
Mayes,1,3878051,0
Monroe,1,2994079,0
Golden Valley,1,739482,0
Appanoose,1,3107126,0
Cannon,1,6549352,0
Nevada,2,38802500,0
Barry,2,6063589,0
Yuma,1,6731484,0
Brunswick,1,9943964,0
Kenosha,7,5757564,0
Sumter,2,19893297,0
Orange,7,19893297,0
Black Hawk,4,3107126,0
Clayton,5,3107126,0
Windham,6,3596677,0
Clay,1,26956958,0
Uintah,1,2942902,0
Carroll,5,5976407,0
Bedford,1,12787209,0
Putnam,2,19893297,0
Tyler,3,1850326,0
Adair,1,6063589,0
Clay,1,5457173,0
Mississippi County,1,2966369,0
Caddo,2,4649676,0
San Juan,2,2085572,0
McDonald,2,6063589,0
Stokes,3,9943964,0
Wayne,1,4413457,0
Deaf Smith,1,26956958,0
Cuyahoga,19,11594163,0
Jasper,2,6063589,0
Kossuth,2,3107126,0
Platte,1,1881503,0
Tuscola,1,9909877,0
Schuyler,1,19746227,0
Madison,2,6596855,0
Iredell,3,9943964,0
Mason,2,9909877,0
Martin,1,19893297,0
Highland,4,11594163,0
Rockbridge,3,8326289,0
Franklin,9,6745408,0
Montgomery,3,2904021,0
Claiborne,1,6549352,0
,11,2904021,0
Salem,2,8938175,0
Nelson,1,8326289,0
Baltimore,15,5976407,0
Pembina,3,739482,0
Greene,7,6063589,0
Churchill,1,2839099,0
Allegan,3,9909877,0
Madera,4,38802500,0
Charles,2,5976407,0
Shelby,1,6063589,0
Green,1,5757564,0
Piatt,2,12880580,0
Tioga,2,12787209,0
Fulton,1,12787209,0
Lyon,3,2839099,0
Clay,1,1881503,0
Taylor,2,5757564,0
Beltrami,2,5457173,0
Saline,1,6063589,0
Marquette,3,9909877,0
Union,1,2085572,0
Lake,2,1023579,0
Mineral,2,1850326,0
Lamar,1,4849377,0
Jackson,1,3878051,0
Racine,5,5757564,0
Fauquier County,2,8326289,0
Arkansas,2,2966369,0
Bedford City,1,8326289,0
Henry,1,8326289,0
Fayette,1,1850326,0
Harrison,1,4413457,0
Stearns,3,5457173,0
Monroe,2,9909877,0
Sullivan,6,19746227,0
Coles,2,12880580,0
Tyrrell County,1,9943964,0
Davis,3,2942902,0
Bayfield,2,5757564,0
Custer,1,3878051,0
Dickinson,1,2904021,0
St. Anislaus,1,38802500,0
Adams,1,7061530,0
Campbell,1,8326289,0
Lincoln,2,2085572,0
Dane,33,5757564,0
Cullman,1,4849377,0
Greenville,4,4832482,0
Houghton,4,9909877,0
Mcleod,1,5457173,0
Licking,6,11594163,0
Marion,2,4849377,0
Harrisonburg,1,8326289,0
Sherman,1,2904021,0
Preston,1,1850326,0
Somerset,3,8938175,0
Audubon,1,3107126,0
Middlesex,11,3596677,0
Jackson,3,3107126,0
Dyer,1,6549352,0
York,6,12787209,0
Perry,1,4413457,0
Augusta,2,8326289,0
Livingston,6,19746227,0
Lincoln,3,2839099,0
Sawyer,1,5757564,0
San Miguel,2,2085572,0
Park,1,584153,0
Grady,1,10097343,0
Ripley,2,6596855,0
Alger,1,9909877,0
Fayette,1,6549352,0
Cleburne,1,4849377,0
Idaho,1,1634464,0
Baltimore City,16,5976407,0
Merrimack,12,1326813,0
Grenada,2,2994079,0
Decatur,2,6596855,0
Ulster,9,19746227,0
Clarendon,2,4832482,0
Eagle,6,5355866,0
Montgomery,2,12880580,0
Kenton,2,4413457,0
White,1,10097343,0
Northampton,1,8326289,0
Mercer,2,12787209,0
Mercer,1,6063589,0
Carroll,1,8326289,0
Morris County,2,8938175,0
Cowlitz,4,7061530,0
Malheur County,1,3970239,0
Henderson,1,9909877,0
,26,11594163,0
,12,19893297,0
Adams,2,1881503,0
Butte County,1,38802500,0
Elbert,1,5355866,0
Columbia,1,12787209,0
HUMBOLDT,1,38802500,0
Gila,1,6731484,0
Hunterdon,3,8938175,0
Delta,1,9909877,0
Siskiyou,3,38802500,0
Bexar,1,26956958,0
Madison,1,2966369,0
Madison,2,9943964,0
Hamilton,5,6596855,0
Marion,1,4832482,0
Kent,8,9909877,0
King,32,7061530,0
Wayne,5,19746227,0
Isanti,2,5457173,0
Franklin,22,11594163,0
Orangeburg,3,4832482,0
Somerset,1,12787209,0
Medina,4,11594163,0
,6,8938175,0
Cloud,1,2904021,0
Montgomery,15,5976407,0
Lincoln,3,9943964,0
Davis,2,3107126,0
,1,658893,0
Kent,1,935614,0
Presque Isle,1,9909877,0
Potter,1,26956958,0
Talladega,1,4849377,0
Sanilac,1,9909877,0
Anson,2,9943964,0
Pierce,1,1881503,0
Frontier,1,1881503,0
Grant,4,4413457,0
Lenoir,1,9943964,0
Shannon,1,853175,0
Jones,1,2994079,0
Covington,2,4849377,0
Marshall,1,853175,0
Fairfax,13,8326289,0
Otsego,5,19746227,0
Rockingham,2,8326289,0
Ripley,2,6063589,0
Wallowa,5,3970239,0
Carroll,1,11594163,0
Lee,1,2966369,0
Monroe,1,4413457,0
Duval,6,19893297,0
Yankton,1,853175,0
Kent County,1,9909877,0
Bulloch,3,10097343,0
Decatur,1,3107126,0
Becker,1,5457173,0
Christian,2,4413457,0
Wright,2,3107126,0
Brevard,5,19893297,0
Cherokee,1,3878051,0
Douglas,1,5457173,0
Arlington,5,8326289,0
Randolph,2,1850326,0
Swain,1,9943964,0
Panola,1,2994079,0
Chambers,1,4849377,0
Lagrange,1,6596855,0
Herkimer,5,19746227,0
Pickens,1,10097343,0
Limestone,1,4849377,0
Mountrail,2,739482,0
Ellis,1,2904021,0
Lubbock,2,26956958,0
Ontonagon,1,9909877,0
Clinton,1,4413457,0
Washington,7,1055173,0
Iowa,3,3107126,0
Laurel,1,4413457,0
Jasper,2,6596855,0
Columbia,1,2966369,0
Los Angeles,45,38802500,0
Marshall,3,3107126,0
Madison,1,3107126,0
,13,19746227,0
Logan,1,12880580,0
St. Francois,2,6063589,0
Shelby,9,6549352,0
Otsego,2,9909877,0
Nez Perce,1,1634464,0
Morton,1,739482,0
Knox,1,6596855,0
Queens,16,19746227,0
Chatham,3,9943964,0
Hampden,16,6745408,0
DuPage,10,12880580,0
Shelby,1,6596855,0
Ellis,1,26956958,0
Carter,1,3878051,0
Hennepin,40,5457173,0
Blair,4,12787209,0
Brown,1,5757564,0
Orleans,5,626562,0
Plymouth,10,6745408,0
Sumter,1,10097343,0
Caroline,2,5976407,0
Fort Bend County,1,26956958,0
Johnson,1,4413457,0
Adams,1,2994079,0
Divide,1,739482,0
Schuyler County,1,19746227,0
Williamsburg,1,4832482,0
Huntingdon,1,12787209,0
Unicoi,1,6549352,0
Morgan,2,4849377,0
Tate,1,2994079,0
Highland,1,8326289,0
Menominee,3,9909877,0
Mariposa,3,38802500,0
Fillmore,2,5457173,0
Cumberland,1,9943964,0
Lincoln,1,1850326,0
Eureka,1,2839099,0
Morgan,1,6549352,0
Adams,1,3107126,0
Cherokee,1,4849377,0
Montgomery,1,6596855,0
Edmonson,1,4413457,0
Pueblo,3,5355866,0
Edgecombe,1,9943964,0
Marshall,2,2904021,0
Floyd,1,4413457,0
Garfield,2,2942902,0
Etowah,3,4849377,0
Allendale,1,4832482,0
Fremont,1,3107126,0
Sussex,11,935614,0
Douglas,2,5355866,0
Davidson,3,9943964,0
Dakota,6,5457173,0
Pulaski,2,10097343,0
Wagoner,1,3878051,0
Goshen,2,584153,0
Bannock,2,1634464,0
Lee,1,2994079,0
FRESNO,2,38802500,0
Passaic,3,8938175,0
Wayne,2,1850326,0
Walton,2,10097343,0
Tippah,1,2994079,0
McDonough,1,12880580,0
Erie,14,19746227,0
Hale,1,4849377,0
Calumet,2,5757564,0
Orange,3,9943964,0
Washington,1,19893297,0
Huerfano,1,5355866,0
San Bernardino,13,38802500,0
Nottoway,1,8326289,0
Summit,1,5355866,0
Sandusky,1,11594163,0
Logan,1,2966369,0
Isle of Wight,2,8326289,0
Hawaii,16,1419561,0
,16,38802500,0
Dorchester,1,5976407,0
Muskingum,3,11594163,0
Montgomery,11,12787209,0
Kenai Peninsula,4,736732,0
Santa Cruz,3,6731484,0
Webster,1,2994079,0
Mora,1,2085572,0
Franklin,1,6596855,0
Washington,1,26956958,0
Leavenworth,1,2904021,0
Chelan,2,7061530,0
Lyon,1,2904021,0
Lemhi,1,1634464,0
St. Louis,6,5457173,0
Schenectady,4,19746227,0
Humboldt,1,3107126,0
Tolland,6,3596677,0
Winona,1,5457173,0
Richland,1,1023579,0
Curry,1,2085572,0
Valley,2,1023579,0
Benewah,1,1634464,0
Hawkins,1,6549352,0
Lee,1,12880580,0
Polk,2,3970239,0
Charleston,6,4832482,0
Osceola,3,19893297,0
Gratiot,2,9909877,0
Huron,1,11594163,0
Crawford,2,9909877,0
Rockland,5,19746227,0
WASHINGTON,2,1055173,0
Nacogdoches,1,26956958,0
SONOMA,1,38802500,0
Barbour,3,4849377,0
Randolph,3,12880580,0
Treasure,1,1023579,0
Clarke,1,3107126,0
Kootenai,2,1634464,0
Ozark,1,6063589,0
Tompkins,6,19746227,0
Fremont,1,5355866,0
Jackson,1,4413457,0
El Paso,1,26956958,0
Washington,3,5457173,0
Chisago,2,5457173,0
Thurston,6,7061530,0
Greene,2,4849377,0
Cherokee,2,26956958,0
Olmsted,5,5457173,0
Deschutes,3,3970239,0
Cheyenne,1,1881503,0
Tazewell,3,8326289,0
Bryan,1,3878051,0
Trempealeau,2,5757564,0
Coffee,1,4849377,0
Moore County,1,26956958,0
Catawba,5,9943964,0
Greene County,1,11594163,0
Clay,4,6063589,0
Wilson,2,9943964,0
Attala,1,2994079,0
Allen,2,11594163,0
Grand Traverse,1,9909877,0
McHenry,3,739482,0
Pocahontas,1,1850326,0
Yuba,2,38802500,0
Delaware,3,11594163,0
Wood,1,11594163,0
Hart,2,10097343,0
Shelby,1,11594163,0
Valencia,1,2085572,0
,9,5757564,0
Greene,7,11594163,0
Powhatan,1,8326289,0
Jefferson,2,26956958,0
Tippecanoe,1,6596855,0
Hyde,1,853175,0
Gloucester,1,8938175,0
Laurens County,1,10097343,0
Benton,1,6063589,0
Lincoln,1,4649676,0
Pima County,3,6731484,0
Sublette,1,584153,0
Jackson,2,19893297,0
,8,1419561,0
Butler,3,11594163,0
Douglas,2,5757564,0
Atchison,1,2904021,0
Marshall,4,4849377,0
Platte,1,6063589,0
Washington,3,11594163,0
Oconee,2,4832482,0
Garfield,1,3878051,0
Bartholomew,3,6596855,0
Chowan,2,9943964,0
Fairfax City,2,8326289,0
Cameron,2,26956958,0
Jackson County,1,9943964,0
Knox,2,12880580,0
Chesapeake,2,8326289,0
Fleming,1,4413457,0
Bibb,2,10097343,0
Webb,1,26956958,0
Weld,8,5355866,0
Mississippi,1,2966369,0
Lafayette,1,5757564,0
Orange,10,38802500,0
Pitkin,1,5355866,0
Albemarle,4,8326289,0
Barry,2,9909877,0
Bolivar,2,2994079,0
Brookings,1,853175,0
Harlan,2,1881503,0
Franklin,1,626562,0
Clay,2,3107126,0
Saline,1,1881503,0
Carter,1,4413457,0
LaMoure,1,739482,0
Union,1,4413457,0
Pacific,2,7061530,0
Watauga,2,9943964,0
Christian,3,6063589,0
District of Columbia,31,658893,0
Mingo,1,1850326,0
Beadle,1,853175,0
Shawano,1,5757564,0
Hamilton,15,11594163,0
Washington,8,626562,0
Eaton,3,9909877,0
Franklin,1,9943964,0
Suwannee,1,19893297,0
Richland,21,4832482,0
Ontario,6,19746227,0
Belmont,3,11594163,0
Pope,1,12880580,0
Clinton,3,3107126,0
Summers,1,1850326,0
Stanislaus,10,38802500,0
Cayuga,2,19746227,0
Hendricks,4,6596855,0
Torrance,1,2085572,0
Montgomery,1,6063589,0
Accomack,2,8326289,0
Genesee,5,9909877,0
Tuscaloosa,3,4849377,0
,2,2942902,0
Bucks,7,12787209,0
Merced,3,38802500,0
Vernon,4,5757564,0
Rutherford,3,9943964,0
Douglas,1,2839099,0
Buckingham,1,8326289,0
Essex,17,6745408,0
Pima,13,6731484,0
Silver Bow,1,1023579,0
Hillsdale,1,9909877,0
Adams,4,12787209,0
Rowan,1,4413457,0
Waldo,7,1330089,0
Teton,1,1023579,0
Honolulu,36,1419561,0
Lexington,3,4832482,0
Macon,1,4849377,0
Dallas,1,6063589,0
Columbia,1,10097343,0
Venango,2,12787209,0
Carver,1,5457173,0
Todd,1,4413457,0
Ogle,2,12880580,0
Worth,2,3107126,0
Marion,1,1850326,0
Blount,1,4849377,0
Berks,6,12787209,0
Iosco,1,9909877,0
Grand,1,2942902,0
Sunflower,2,2994079,0
Adams,1,5757564,0
Clay,1,9943964,0
Ouray,1,5355866,0
Sussex,3,8938175,0
Charles Mix,1,853175,0
Wythe,1,8326289,0
Stutsman,3,739482,0
Clay,2,2966369,0
Henderson County,1,6549352,0
Jackson,1,4849377,0
Sumner,1,6549352,0
Franklin,2,12787209,0
Dunklin,1,6063589,0
Wyoming,1,1850326,0
,40,6745408,0
Clay County,1,5457173,0
,3,5976407,0
Vanderburgh,2,6596855,0
Thomas,1,10097343,0
Escambia County,2,19893297,0
Washington,1,8326289,0
Gilliam,1,3970239,0
Kane,6,12880580,0
Lewis,2,19746227,0
Franklin,4,19746227,0
Anderson,5,4832482,0
Pontotoc,1,3878051,0
McDowell,1,9943964,0
Judith Basin,1,1023579,0
Botetourt,2,8326289,0
Lebanon,4,12787209,0
Tarrant,3,26956958,0
Garrett,1,5976407,0
Pike,1,6063589,0
Kanabec,1,5457173,0
Coshocton,1,11594163,0
Starke,1,6596855,0
Big Horn,1,1023579,0
Towner,1,739482,0
Monroe,2,6063589,0
Monroe,1,12787209,0
Monroe,1,3107126,0
Martin,1,9943964,0
Midland,1,26956958,0
Steele,1,5457173,0
La Crosse,1,5757564,0
Livingston,1,6063589,0
,4,2966369,0
Custer,2,1634464,0
Aiken,1,4832482,0
Forrest,6,2994079,0
New Castle,6,935614,0
Shawnee,4,2904021,0
Lunenburg,1,8326289,0
Sioux,1,3107126,0
Hot Spring,1,2966369,0
Dawson,1,10097343,0
Midland,1,9909877,0
Malheur,1,3970239,0
,5,1881503,0
Saginaw,5,9909877,0
Oxford,4,1330089,0
Madison,4,4849377,0
Warren,1,12880580,0
Teton,1,584153,0
Oconee,1,10097343,0
Providence,19,1055173,0
Pittsylvania,2,8326289,0
,16,12787209,0
Allegany,4,5976407,0
Greene,1,8326289,0
Montgomery,4,19746227,0
Snohomish,9,7061530,0
Northumberland,1,8326289,0
Chester,4,12787209,0
Orange,4,626562,0
Oglethorpe,1,10097343,0
Edwards,1,12880580,0
Union,1,10097343,0
DEKALB,1,4849377,0
Monongalia,2,1850326,0
Miami,1,2904021,0
Colfax,1,2085572,0
Saline,1,2904021,0
Steuben,6,19746227,0
DeKalb,8,10097343,0
Chatham,2,10097343,0
Schoharie,1,19746227,0
Big Horn,3,584153,0
Loudoun,9,8326289,0
Vermilion,1,4649676,0
Johnson,1,3107126,0
Marion County,1,19893297,0
Macon,1,12880580,0
Franklin,3,6063589,0
Plymouth,1,3107126,0
Sanborn,1,853175,0
Carbon,1,2942902,0
Carlisle,1,4413457,0
Taney,2,6063589,0
Kauai,13,1419561,0
Douglas,8,1881503,0
Marion,1,6063589,0
,41,12880580,0
Guilford,3,9943964,0
Nemaha,2,1881503,0
Maury,2,6549352,0
Wayne,2,6596855,0
Allamakee,1,3107126,0
Sanders,1,1023579,0
Fairbanks North Star,3,736732,0
Iroquois,1,12880580,0
Bates,1,6063589,0
Matanuska-Susitna Borough,1,736732,0
Stillwater,1,1023579,0
Darlington,1,4832482,0
Scott,1,6596855,0
Bradford,1,19893297,0
,5,3970239,0
Barrow,1,10097343,0
Sonoma,12,38802500,0
Mecklenburg,9,9943964,0
Ashtabula,4,11594163,0
Jefferson,2,11594163,0
Wood,1,26956958,0
Harnett County,1,9943964,0
Knox,3,1330089,0
Jefferson,1,7061530,0
Seneca,1,11594163,0
Alachua,6,19893297,0
Hill,1,1023579,0
James City,1,8326289,0
Warren,1,2994079,0
Buchanan,2,3107126,0
Madison,1,4413457,0
,19,9909877,0
Wadena,2,5457173,0
Dodge,1,5457173,0
Wabash,1,6596855,0
Jessamine,1,4413457,0
Gregg,1,26956958,0
Grant,1,2966369,0
Montcalm,3,9909877,0
Miller,2,6063589,0
Suffolk,1,8326289,0
Stark,9,11594163,0
Putnam,2,6596855,0
Hamblen,1,6549352,0
Bernalillo,9,2085572,0
Dutchess,9,19746227,0
Hardin,2,11594163,0
Barren,3,4413457,0
Orleans,2,19746227,0
Sarasota,2,19893297,0
Taylor,1,26956958,0
Pulaski,3,8326289,0
Hamilton,2,6549352,0
Shelby,2,4413457,0
Lawrence,4,6063589,0
Clallam,1,7061530,0
Alcona,1,9909877,0
Sabine Parish,1,4649676,0
Natchitoches,1,4649676,0
Taylor,1,19893297,0
Winneshiek,2,3107126,0
Henry,1,6549352,0
Portage,3,11594163,0
Grundy,1,12880580,0
Washington,2,2994079,0
Choctaw,1,4849377,0
Hot Springs County,1,584153,0
Texas,1,6063589,0
Perry,1,2966369,0
Antrim,1,9909877,0
Larimer,3,5355866,0
Crook,1,3970239,0
McIntosh County,1,739482,0
St. Landry,1,4649676,0
Franklin County,1,1330089,0
McClain,2,3878051,0
,2,6063589,0
Wayne,1,12787209,0
Lapeer,2,9909877,0
Kings,34,19746227,0
Rapides,1,4649676,0
Pitt,5,9943964,0
Alexandria,5,8326289,0
Fayette,5,12787209,0
Jackson,4,12880580,0
Transylvania,1,9943964,0
Oscoda,1,9909877,0
Scott,1,6063589,0
Denver,13,5355866,0
Lee,2,19893297,0
Hancock,3,11594163,0
Kittitas,1,7061530,0
Twin Falls,2,1634464,0
Cherokee,4,10097343,0
Lake,4,11594163,0
Johnson,1,584153,0
Westmoreland,10,12787209,0
Crawford,1,12880580,0
Lenawee,1,9909877,0
Columbia,5,19746227,0
Yadkin,1,9943964,0
St. Louis,9,6063589,0
Graham,1,6731484,0
Sacramento,17,38802500,0
Stoddard,1,6063589,0
Sheridan,1,584153,0
Porter,3,6596855,0
Habersham,2,10097343,0
Luce,1,9909877,0
Coahoma County,1,2994079,0
Lamoille,4,626562,0
Morgan,1,6063589,0
Madison,3,12880580,0
Baxter,2,2966369,0
San Joaquin,15,38802500,0
Burlington,4,8938175,0
Green Lake,1,5757564,0
Pickaway,1,11594163,0
Washington,8,19746227,0
Chippewa,1,5757564,0
Switzerland,1,6596855,0
Lake,3,19893297,0
Kandiyohi,1,5457173,0
Mercer,2,4413457,0
Pike,1,6596855,0
Hardin,3,4413457,0
Russell,1,8326289,0
Dodge,5,5757564,0
Wolfe,1,4413457,0
Posey,1,6596855,0
Nye,1,2839099,0
Daviess,1,4413457,0
Norfolk,13,6745408,0
Scotland,2,6063589,0
Coffey,2,2904021,0
Washburn,1,5757564,0
Ford,1,12880580,0
Kankakee,4,12880580,0
Washington,1,1634464,0
Cass,4,6063589,0
Pulaski,2,4413457,0
Greene,2,12880580,0
Rock,1,1881503,0
Upshur,1,1850326,0
Washington,1,1881503,0
Litchfield,9,3596677,0
Windsor,9,626562,0
Mifflin,4,12787209,0
Windham County,1,3596677,0
Walker,1,26956958,0
Hinds,4,2994079,0
Grant,4,5757564,0
Middlesex,3,8938175,0
Dade,1,10097343,0
Garfield County,1,1881503,0
Floyd,1,10097343,0
Brazoria,1,26956958,0
Cass,1,6596855,0
Lake,1,3970239,0
Lincoln,1,1634464,0
Tucker,2,1850326,0
Payne,4,3878051,0
Pierce,1,739482,0
Contra Costa,16,38802500,0
Spotsylvania,4,8326289,0
Boone,1,6596855,0
Galax,1,8326289,0
Collier,4,19893297,0
Grayson,1,4413457,0
Winnebago,6,12880580,0
